defined_class	defined_class_label	location	location_label
DDPHENO:0000105	abolished protein localization to nucleolus	GO:0005730	nucleolus
DDPHENO:0000453	abolished protein localization to nucleus	GO:0005634	nucleus
DDPHENO:0000517	abolished protein localization to contractile vacuole	GO:0000331	contractile vacuole
DDPHENO:0000521	abolished protein localization to contractile vacuole membrane	GO:0031164	contractile vacuole membrane
DDPHENO:0000605	abolished protein localization to leading edge	GO:0031252	cell leading edge
DDPHENO:0000609	abolished protein localization to actin wave	GO:0062201	actin wave
DDPHENO:0000613	abolished protein localization to trailing edge	GO:0031254	cel trailing edge
DDPHENO:0000617	abolished protein localization to filopodium	GO:0030175	filopodium
DDPHENO:0000621	abolished protein localization to phagocytic vesicle	GO:0045335	phagocytic vesicle
DDPHENO:0000625	abolished protein localization to centrosome	GO:0005813	centrosome
DDPHENO:0000629	abolished protein localization to macropinosome	GO:0044354	macropinosome
DDPHENO:0000633	abolished protein localization to autophagosome	GO:0005776	autophagosome
DDPHENO:0000637	abolished protein localization to cell-cell contact zone	GO:0044291	cell-cell contact zone
DDPHENO:0000641	abolished protein localization to basolateral plasma membrane	GO:0016323	basolateral plasma membrane
DDPHENO:0000645	abolished protein localization to cleavage furrow	GO:0032154	cleavage furrow
DDPHENO:0000649	abolished protein localization to lysosome	GO:0005764	lysosome
DDPHENO:0000653	abolished protein localization to post-lysosomal vacuole	GO:0032195	post-lysosomal vacuole
DDPHENO:0000657	abolished protein localization to lysosomal membrane	GO:0005765	lysosomal membrane
DDPHENO:0000661	abolished protein localization to mitotic spindle	GO:0072686	mitotic spindle
DDPHENO:0000665	abolished protein localization to mitotic spindle midzone	GO:1990023	mitotic spindle midzone
DDPHENO:0000669	abolished protein localization to cytoplasmic vesicle	GO:0031410	cytoplasmic vesicle
DDPHENO:0000673	abolished protein localization to cell periphery	GO:0071944	cell periphery
DDPHENO:0000675	abolished protein localization to apical plasma membrane	GO:0016324	apical plasma membrane
DDPHENO:0000677	abolished protein localization to endolysosome	GO:0036019	endolysosome
 DDPHENO:0000797	abolished protein localization to mitotic actomyosin contractile ring	GO:0110085	mitotic actomyosin contractile ring
DDPHENO:0001392	abolished protein localization to cytoplasm	GO:0005737	cytoplasm
DDPHENO:0001394	abolished protein localization to plasma membrane	GO:0005886	plasma membrane
DDPHENO:0001399	abolished protein localization to microtubules	GO:0005874	microtubule
DDPHENO:0001400	abolished protein localization to microtubule organizing center	GO:0005815	microtubule organizing center
DDPHENO:0001405	abolished protein localization to clathrin-coated pit	GO:0005905	clathrin-coated pit
DDPHENO:0001428	abolished protein localization to nuclear envelope	GO:0005635	nuclear envelope
DDPHENO:0001497	abolished protein localization to cell surface	GO:0009986	cell surface
DDPHENO:0001508	abolished protein localization to cell cortex	GO:0005938	cell cortex
DDPHENO:0001512	abolished protein localization to pseudopodium	GO:0031143	pseudopodium
