defined_class	defined_class_label	biological_process	biological_process_label	location	location_label	cellular_component	cellular_component_label
DDPHENO:0000175	decreased prespore cell differentiation	GO:0030154	cell differentiation	DDANAT:0000405	prespore cell		
DDPHENO:0000191	decreased prestalk cell differentiation	GO:0030154	cell differentiation	DDANAT:0000406	prestalk cell		
DDPHENO:0000195	decreased stalk cell differentiation	GO:0030154	cell differentiation	DDANAT:0000413	stalk cell		
DDPHENO:0000225	decreased slug migration	GO:0040011	locomotion	DDANAT:0000008	migratory slug		
DDPHENO:0000260	decreased cell migration to prestalk region	GO:0016477	cell migration	DDANAT:0000087	prestalk region		
DDPHENO:0000262	decreased prestalk O cell differentiation	GO:0030154	cell differentiation	DDANAT:0000407	pstO cell		
DDPHENO:0000369	decreased prestalk gene expression	GO:0010467	gene expression	DDANAT:0000406	prestalk cell		
DDPHENO:0000371	decreased prespore gene expression	GO:0010467	gene expression	DDANAT:0000405	prespore cell		
DDPHENO:0000692	decreased spore cell differentiation	GO:0030154	cell differentiation	DDANAT:0000414	spore		
DDPHENO:0001075	decreased prestalk A cell differentiation	GO:0030154	cell differentiation	DDANAT:0000408	pstA cell		
DDPHENO:0001165	decreased prestalk B cell differentiation	GO:0030154	cell differentiation	DDANAT:0000417	pstB cell		
DDPHENO:0001179	decreased actin filament polymerization at the leading edge	GO:0030041	actin filament polymerization			GO:0031252	cell leading edge
DDPHENO:0001526	decreased prestalk U cell differentiation	GO:0030154	cell differentiation	DDANAT:0001001	pstU cell		
