defined_class	defined_class_label	biological_process	biological_process_label
DDPHENO:0000006	increased autophagy	GO:0006914	autophagy
DDPHENO:0000015	increased pre-miRNA processing	GO:0031054	pre-miRNA processing
DDPHENO:0000032	increased sporulation	GO:0043934	sporulation
DDPHENO:0000038	increased contractile vacuole discharge	GO:0070177	contractile vacuole discharge
DDPHENO:0000048	increased phosphatidylinositol biosynthesis	GO:0006661	phosphatidylinositol biosynthetic process
DDPHENO:0000052	increased hypotonic response	GO:0006971	hypotonic response
DDPHENO:0000109	increased cell-cell adhesion	GO:0098609	cell-cell adhesion
DDPHENO:0000113	increased cellular localization	GO:0051641	cellular localization
DDPHENO:0000116	increased cell motility	GO:0048870	cell motility
DDPHENO:0000119	increased substrate adhesion-dependent cell spreading	GO:0034446	substrate adhesion-dependent cell spreading
DDPHENO:0000126	increased cGMP-mediated signaling	GO:0019934	cGMP-mediated signaling
DDPHENO:0000132	increased actin filament bundle assembly	GO:0051017	actin filament bundle assembly
DDPHENO:0000134	increased myosin II assembly	GO:0031036	myosin II filament assembly
DDPHENO:0000144	increased negative chemotaxis	GO:0050919	negative chemotaxis
DDPHENO:0000213	increased cell-substrate adhesion	GO:0031589	cell-substrate adhesion
DDPHENO:0000231	increased cell death	GO:0008219	cell death
DDPHENO:0000249	increased double-strand break repair	GO:0006302	double-strand break repair
DDPHENO:0000250	increased single-strand break repair	GO:0000012	single strand break repair
DDPHENO:0000278	increased defense response to bacterium	GO:0042742	defense response to bacterium
DDPHENO:0000282	increased defense response to fungus	GO:0050832	defense response to fungus
DDPHENO:0000285	increased defense response to Gram-positive bacterium	GO:0050830	defense response to Gram-positive bacterium 
DDPHENO:0000288	increased defense response to Gram-negative bacterium	GO:0050829	defense response to Gram-negative bacterium
DDPHENO:0000301	increased gene expression	GO:0010467	gene expression
DDPHENO:0000304	increased membrane ruffling	GO:0097178	ruffle assembly
DDPHENO:0000345	increased activation of GTPase activity	GO:0090630	activation of GTPase activity
DDPHENO:0000357	increased endocytic recycling	GO:0032456	endocytic recycling
DDPHENO:0000359	increased response to cAMP	GO:0051591	response to cAMP
DDPHENO:0000364	increased macropinocytosis	GO:0044351	macropinocytosis
DDPHENO:0000377	increased filopodium formation	GO:0046847	filopodium assembly 
DDPHENO:0000405	increased phagocytosis	GO:0006909	phagocytosis
DDPHENO:0000411	increased cellular thermotolerance	GO:0070370	cellular heat acclimation
DDPHENO:0000433	increased secretion of lysosomal enzymes	GO:0033299	secretion of lysosomal enzymes
DDPHENO:0000448	increased pinocytosis	GO:0006907	pinocytosis
DDPHENO:0000455	increased of cGMP biosynthesis	GO:0006182	cGMP biosynthetic process
DDPHENO:0000456	increased actin phosphorylation	GO:0031289	actin phosphorylation
DDPHENO:0000459	increased actin filament polymerization	GO:0030041	actin filament polymerization
DDPHENO:0000473	increased establishment of cell polarity	GO:0030010	establishment of cell polarity
DDPHENO:0000478	increased lateral pseudopodium formation	GO:0031271	lateral pseudopodium assembly
DDPHENO:0000530	increased post-transciptional gene silencing by RNA	GO:0035194	post-transciptional gene silencing by RNA
DDPHENO:0000545	increased iron ion transport	GO:0006826	iron ion transport
DDPHENO:0000551	increased pseudopodium formation	GO:0031269	increased pseudopodium assembly
DDPHENO:0000562	increased endosomal vesicle fusion	GO:0034058	endosomal vesicle fusion
DDPHENO:0000569	increased lipid droplet formation	GO:0140042	lipid droplet formation
DDPHENO:0000574	increased double-strand break repair via homologous recombination	GO:0000724	double-strand break repair via homologous recombination
DDPHENO:0000578	increased double-strand break repair via nonhomologous end joining	GO:0006303	double-strand break repair via nonhomologous end joining
DDPHENO:0000587	increased response to hypoxia	GO:0001666	response to hypoxia
DDPHENO:0000602	increased intermediate filament bundle assembly	GO:0045110	intermediate filament bundle assembly
DDPHENO:0000706	increased cAMP biosynthesis	GO:0006171	cAMP biosynthetic process
DDPHENO:0000720	increased lateral pseudopodium retraction	GO:0120320	lateral pseudopodium retraction
DDPHENO:0001053	increased bleb assembly	GO:0032060	bleb assembly
DDPHENO:0001061	increased protein kinase activation	GO:0032147	activation of protein kinase activity
DDPHENO:0001086	increased chemotaxis to cAMP	GO:0043327	chemotaxis to cAMP
DDPHENO:0001087	increased chemotaxis to folate	GO:0043326	chemotaxis to folate
DDPHENO:0001091	increased response to DIF-1	GO:1903013	response to differentiation-inducing factor 1
DDPHENO:0001098	increased DIF-1 biosynthesis	GO:0031148	DIF-1 biosynthetic process
DDPHENO:0001104	increased culmination	GO:0031154	culmination involved in sorocarp development
DDPHENO:0001107	increased lysosomal protein degradation	GO:1905146	lysosomal protein catabolic process
DDPHENO:0001112	increased exocytosis	GO:0006887	exocytosis
DDPHENO:0001123	increased phototaxis	GO:0042331	phototaxis
DDPHENO:0001124	increased thermotaxis	GO:0043052	thermotaxis
DDPHENO:0001129	increased taxis	GO:0042330	taxis
DDPHENO:0001134	increased activation of adenylate cyclase activity	GO:0007190	activation of adenylate cyclase activity
DDPHENO:0001139	increased positive regulation of GTPase activity	GO:0043547	positive regulation of GTPase activity
DDPHENO:0001158	increased cellulose biosynthesis	GO:0030244	cellulose biosynthetic process
DDPHENO:0001162	increased superoxide generation	GO:0042554	superoxide anion generation
DDPHENO:0001174	increased cell differentiation	GO:0030154	cell differentiation
DDPHENO:0001190	increased macroautophagy	GO:0016236	macroautophagy
DDPHENO:0001202	increased actin filament sliding	GO:0033275	actin-myosin filament sliding
DDPHENO:0001212	increased translation	GO:0006412	translation
DDPHENO:0001215	increased calcium-dependent cell-cell adhesion	GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules
DDPHENO:0001216	increased calcium-independent cell-cell adhesion	GO:0016338	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules
DDPHENO:0001232	increased protein secretion	GO:0009306	protein secretion
DDPHENO:0001265	increased autophagic cell death	GO:0048102	autophagic cell death
DDPHENO:0001319	increased peptidyl-proline modification	GO:0018208	peptidyl-proline modification
